회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
우양,103840,"과실, 채소 가공 및 저장 처리업","HMR, 음료 베이스, 퓨레 등",11/20/2019,12월,이구열,http://foodkorea.com,충청남도
코리아에셋투자증권,190650,금융 지원 서비스업,"IB금융자문, 채권인수 및 매매, 투자중개, 펀드운용 등",11/20/2019,03월,"기동호, 김은섭",http://www.kasset.co.kr,서울특별시
현대에너지솔루션,322000,반도체 제조업,"태양광 셀·모듈, PV시스템, ESS",11/19/2019,12월,박종환,http://www.hyundai-es.co.kr/,경기도
에스제이그룹,306040,"가죽, 가방 및 유사제품 제조업","캉골 가방/모자, 헬렌카민스키 모자",11/18/2019,12월,이주영,http://www.sj-group.co.kr,서울특별시
제테마,216080,의료용품 및 기타 의약 관련제품 제조업,"히알루론산 필러(조직수복용생체재료), 피부과용 레이저 의료기기, 리프팅실 등",11/14/2019,12월,김재영,http://www.jetema.com,강원도
한화시스템,272210,전자부품 제조업,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조",11/13/2019,12월,어성철,http://hanwhasystems.com,경상북도
라파스,214260,기타 화학제품 제조업,"마이크로니들 패치 제품(의약품패치, 의료기기패치, 미용패치 등)",11/11/2019,12월,정도현,http://www.raphas.com,서울특별시
아이티엠반도체,084850,전자부품 제조업,배터리 보호회로,11/7/2019,12월,나혁휘,http://www.it-m.co.kr,충청북도
일승,333430,선박 및 보트 건조업,환경장비,11/6/2019,12월,손지익,http://ilseung.co.kr,부산광역시
자이에스앤디,317400,부동산 임대 및 공급업,"부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양",11/6/2019,12월,엄관석,http://www.xisnd.com/,서울특별시
미디어젠,279600,소프트웨어 개발 및 공급업,음성인식 소프트웨어 기술개발,11/5/2019,12월,고훈,http://www.mediazen.co.kr,경기도
하나금융14호스팩,332710,금융 지원 서비스업,기업인수합병,11/1/2019,12월,홍지헌,,서울특별시
신한제6호스팩,333050,금융 지원 서비스업,기업인수 및 합병,10/31/2019,12월,원종상,,서울특별시
티라유텍,322180,소프트웨어 개발 및 공급업,스마트팩토리 솔루션,10/31/2019,12월,"김정하, 조원철",http://thirautech.com,서울특별시
롯데리츠,330590,부동산 임대 및 공급업,부동산투자,10/30/2019,06월,롯데에이엠씨 주식회사,http://www.lottereit.co.kr/,서울특별시
지누스,013890,가구 제조업,매트리스 및 가구제품,10/30/2019,12월,이윤재,http://www.zinus.co.kr,경기도
교보9호스팩,331520,금융 지원 서비스업,기업인수합병,10/29/2019,12월,양규응,,서울특별시
캐리소프트,317530,"영화, 비디오물, 방송프로그램 제작 및 배급업","영상 콘텐츠(30.05%), 공연(29.76%), 키즈카페(17.38%), 커머스(12.77%), 라이선스 및 기타(10.04%)",10/29/2019,12월,박창신,http://www.carriesoft.com,서울특별시
한국미라클피플사,331660,기타 화학제품 제조업,"은나노스텝, 닥터오렌지 등",10/28/2019,12월,이호경,http://www.kmpc.co.kr,경기도
케이엔제이,272110,특수 목적용 기계 제조업,"Edge Grinder, CVD-SiC Ring",10/25/2019,12월,심호섭,http://www.knj.kr,충청남도
엔바이오니아,317870,그외 기타 제품 제조업,양전하필터(정수기),10/24/2019,12월,한정철,http://envioneer.com,경기도
팜스빌,318010,기타 식품 제조업,다이어트 제품 및 건강기능 관련 제품,10/22/2019,12월,이병욱,http://www.pharmsville.com,서울특별시
두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",연료전지,10/18/2019,12월,유수경,http://www.doosanfuelcell.com,전라북도
라온피플,300120,소프트웨어 개발 및 공급업,"카메라 모듈 검사기, AI 머신비전, 골프센서",10/18/2019,12월,이석중,http://www.laonpeople.com/,경기도
솔루스첨단소재,336370,전자부품 제조업,"동박, 유압기기 등",10/18/2019,12월,"진대제, 서광벽(각자 대표이사)",http://www.solusadvancedmaterials.com,전라북도
제이콘텐트리,036420,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화 및 방송프로그램 제작, 유통, 광고",10/18/2019,12월,제찬웅,http://www.jcontentree.com/,서울특별시
아톤,158430,소프트웨어 개발 및 공급업,"모바일금융솔루션, mOTP 개발",10/17/2019,12월,김종서,http://www.atoncorp.com,서울특별시
녹십자웰빙,234690,의약품 제조업,"전문의약품, 건강기능식품",10/14/2019,12월,김상현,http://www.greencrosswb.com,서울특별시
대신밸런스제7호스팩,332290,금융 지원 서비스업,기업 인수 및 합병,10/11/2019,12월,박규상,,서울특별시
포커스에이치엔에스,331380,영상 및 음향기기 제조업,합병,10/2/2019,12월,김대중,,경기도
엔지브이아이,093510,자동차 신품 부품 제조업,천연가스자동차용 연료저장장치 등,9/30/2019,12월,정수영,,강원도
케이비제19호스팩,330990,금융 지원 서비스업,금융지원서비스,9/30/2019,12월,조형인,,서울특별시
올리패스,244460,기초 의약물질 및 생물학적 제제 제조업,인공유전자 플랫폼(OliPass PNA) 기술을 활용한 RNA치료제 신약개발,9/20/2019,12월,정신,http://www.olipass.com,경기도
라닉스,317120,반도체 제조업,"자동차 및 IoT 통신, 보안솔루션",9/18/2019,12월,최승욱,http://www.ranix.co.kr,서울특별시
윈텍,320000,특수 목적용 기계 제조업,비전검사장비,9/18/2019,12월,허민석,http://www.wintec.co.kr,경기도
한독크린텍,256150,일반 목적용 기계 제조업,정수기 필터,9/5/2019,12월,"고인선, 이광규",http://hdctech.co.kr,대전광역시
아퓨어스,149300,기초 의약물질 및 생물학적 제제 제조업,"실험동물, 연구용피부 및 연구용세포, 연구용역",9/3/2019,12월,최선덕,http://www.apures.com,경기도
상상인이안제2호스팩,329560,금융 지원 서비스업,기업인수합병,8/30/2019,12월,김기동,,서울특별시
네오크레마,311390,기타 식품 제조업,기능성 식품 원료,8/22/2019,12월,김재환,http://www.cremar.co.kr,서울특별시
마니커에프앤지,195500,"도축, 육류 가공 및 저장 처리업","육가공품, 튀김류, 패티류, 삼계탕 등",8/20/2019,12월,최장호,http://www.manikerfng.com,경기도
미래에셋대우스팩3호,328380,금융 지원 서비스업,기업인수합병,8/20/2019,12월,이경하,,서울특별시
나노브릭,286750,기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)",8/19/2019,12월,주재현,http://www.nanobrick.co.kr,경기도
에스피시스템스,317830,특수 목적용 기계 제조업,산업용 갠트리 로봇,8/14/2019,12월,"심상균, 심효준",http://www.spsystems.co.kr,경상남도
레이,228670,의료용 기기 제조업,"디지털 치료솔루션(CT scan 장비, 3D 프린터), 디지털 진단시스템(X-ray, CT 등)",8/8/2019,12월,이상철,http://www.raymedical.co.kr/,경기도
그린플러스,186230,1차 비철금속 제조업,"첨단유리온실, 온실용자재설치공사, 알루미늄 압출/가공제품",8/7/2019,12월,박영환,http://www.greenplus.co.kr,충청남도
케어룸의료산업,327970,의료용 기기 제조업,"의료용침대, 모션베드, 기타 의료기기 등",8/5/2019,12월,곽진태,http://ynbed.co.kr,경상북도
코윈테크,282880,특수 목적용 기계 제조업,"공정자동화설비(2차전지,석유화학,반도체,디스플레이)",8/5/2019,12월,이재환,http://www.cowintech.com,충청남도
덕산테코피아,317330,기타 화학제품 제조업,"OLED 소재, 반도체 소재",8/2/2019,12월,이수완,http://dstp.co.kr,충청남도
슈프리마아이디,317770,전자부품 제조업,"지문인식 등록, 인증 기기 및 솔루션",8/1/2019,12월,박보건,http://www.suprema-id.com,경기도
한국바이오젠,318000,합성고무 및 플라스틱 물질 제조업,"실리콘 소재(실란 모노머, 실리콘 레진&폴리머, 실리콘 융합소재)",8/1/2019,12월,부태웅,http://www.kbgtech.co.kr/,충청남도
세경하이테크,148150,전자부품 제조업,DECO Film 및 기타 TAPE 제조,7/30/2019,12월,이영민,http://www.sghitech.co.kr/,경기도
윌링스,313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",태양광 인버터 등,7/25/2019,12월,안강순,http://www.willings.co.kr,경기도
대모,317850,특수 목적용 기계 제조업,"유압브레이커, 특수장비/부품, 퀵커플러 등",7/24/2019,12월,이원해,,경기도
에이스토리,241840,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작,7/19/2019,12월,이상백,http://www.astory.co.kr,서울특별시
플리토,300080,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",언어 데이터 구축 및 판매,7/17/2019,12월,이정수,http://www.flitto.com,서울특별시
이베스트이안스팩1호,323210,금융 지원 서비스업,기업인수합병,7/15/2019,12월,권홍철,,서울특별시
세틀뱅크,234340,기타 정보 서비스업,"가상계좌중계, 간편현금결제",7/12/2019,12월,최종원,http://www.settlebank.co.kr,서울특별시
아이스크림에듀,289010,"서적, 잡지 및 기타 인쇄물 출판업",아이스크림홈런,7/11/2019,12월,"조용상, 박기석 (각자대표)",http://www.i-screamedu.co.kr,서울특별시
펨토바이오메드,327610,자연과학 및 공학 연구개발업,CellShot 플랫폼 / CellShot 기반 항암백신치료 제품군 / CellShot 기반 자가면역질환치료 제품군 / CellShot 기반 바이오의약품 생산세포주 제품군,7/10/2019,12월,이상현,http://www.femtobiomed.com,경기도
펌텍코리아,251970,플라스틱제품 제조업,화장품 용기,7/4/2019,12월,"이재신, 이도훈",http://www.pum-tech.co.kr,인천광역시
에이에프더블류,312610,일차전지 및 축전지 제조업,음극마찰용접단자,7/1/2019,12월,진정아,http://www.asanfw.com,경상북도
티티씨디펜스,309900,"그외 기타 전문, 과학 및 기술 서비스업","Anti-Drone, UGV, 방폭블록, 방검조끼 등",6/27/2019,12월,윤성욱,http://ttcdefence.com/,경기도
신영스팩5호,323280,금융 지원 서비스업,기업인수 및 합병,6/24/2019,12월,손길현,,서울특별시
엠에프엠코리아,323230,편조의복 제조업,"남성,여성,남아,여아용 면의류",6/19/2019,12월,"안피터도성,조장호",http://www.mfmkorea.com,서울특별시
압타바이오,293780,자연과학 및 공학 연구개발업,"용역매출, 유전자전달체, 압타머연구용시약",6/12/2019,12월,이수진,http://www.aptabio.com,경기도
까스텔바작,308100,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화,6/10/2019,12월,최준호,http://www.castelbajac.com,서울특별시
마이크로디지탈,305090,의료용 기기 제조업,"바이오 분석 시스템, 메디칼 자동화 시스템",6/5/2019,12월,김경남,http://www.md-best.com,경기도
코퍼스코리아,322780,"영화, 비디오물, 방송프로그램 제작 및 배급업",콘텐츠 배급 및 제작,5/31/2019,12월,오영섭,,서울특별시
프로이천,321260,반도체 제조업,합병,5/31/2019,12월,임이빈,,경기도
포스코케미칼,003670,"내화, 비내화 요업제품 제조업","내화물, 생석회, 음극재 및 양극재",5/29/2019,12월,민경준,http://www.poscochemical.com/,경상북도
수젠텍,253840,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,5/28/2019,12월,손미진,http://www.sugentech.com,대전광역시
컴퍼니케이,307930,기타 금융업,중소 벤처기업 투자,5/23/2019,12월,김학범,http://www.kpartners.co.kr,서울특별시
다원넥스뷰,323350,사진장비 및 광학기기 제조업,레이저 장비,5/21/2019,12월,남기중,http://www.nexview.co.kr,경기도
피에스케이,319660,특수 목적용 기계 제조업,"드라이스트립, 드라이클리닝",5/10/2019,12월,이경일,http://www.pskinc.com,경기도
현대무벡스,319400,일반 목적용 기계 제조업,"물류자동화, IT서비스",5/8/2019,12월,현기봉,http://www.hyundaimovex.com/,서울특별시
SNK,950180,소프트웨어 개발 및 공급업,"IP 라이센스, 콘솔, 모바일 게임",5/7/2019,07월,"갈지휘, 마츠바라 켄지",http://www.snk-corp.co.jp,일본
TS트릴리온,317240,기타 화학제품 제조업,기업인수합병,4/29/2019,12월,장기영,,서울특별시
이노벡스,279060,전자부품 제조업,"TAS(지하철터널내영상광고장치), WING TV(회전식 LED바를 이용한 영상광고장치)",4/12/2019,12월,채균,http://www.innovex.co.kr,경기도
아모그린텍,125210,전자부품 제조업,비정질 및 나노결정립을 이용한 자성부품 및 전류센서,3/29/2019,12월,양성철,http://amogreentech.co.kr,경기도
현대오토에버,307950,소프트웨어 개발 및 공급업,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",3/28/2019,12월,서정식,http://www.hyundai-autoever.com,서울특별시
지노믹트리,228760,의료용품 및 기타 의약 관련제품 제조업,암 조기진단 제품,3/27/2019,12월,안성환,http://genomictree.com/ko/,대전광역시
이지케어텍,099750,소프트웨어 개발 및 공급업,의료정보시스템,3/22/2019,03월,위원량,http://www.ezcaretech.com,서울특별시
미래에셋벤처투자,100790,기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,3/15/2019,12월,김응석,http://venture.miraeasset.co.kr,경기도
드림텍,192650,전자부품 제조업,"모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등",3/14/2019,12월,"김형민, 박찬홍(각자대표)",http://www.idreamtech.co.kr,경기도
더블유게임즈,192080,소프트웨어 개발 및 공급업,온라인 게임,3/12/2019,12월,김가람,,서울특별시
에코프로비엠,247540,일차전지 및 축전지 제조업,양극활물질,3/5/2019,12월,"권우석, 김병훈(각자 대표이사)",http://www.ecoprobm.co.kr,충청북도
셀리드,299660,자연과학 및 공학 연구개발업,항암면역치료백신,2/20/2019,12월,강창율,http://www.cellid.co.kr,서울특별시
우리금융지주,316140,기타 금융업,금융지주,2/13/2019,12월,손태승,http://www.woorifg.com/,서울특별시
천보,278280,기초 화학물질 제조업,"디스플레이 소재, 반도체 공정 소재, 2차전지 소재, 의약품 소재, 정밀화학 소재",2/11/2019,12월,이상율,http://www.chunbochem.com/,충청북도
이노테라피,246960,의료용품 및 기타 의약 관련제품 제조업,"의료용지혈제, 밀폐제 및 접착제",2/1/2019,12월,이문수,http://www.innotherapy.com,서울특별시
노랑풍선,104620,여행사 및 기타 여행보조 서비스업,"국내외여행 알선, 항공권 판매",1/30/2019,12월,"고재경, 최명일(각자 대표이사)",http://www.ybtour.com,서울특별시
웹케시,053580,소프트웨어 개발 및 공급업,"에스이알피, 브랜치, 인하우스",1/25/2019,12월,강원주,http://www.webcash.co.kr,서울특별시
엘에이티,311060,특수 목적용 기계 제조업,"In-Line Sputter, OLED 패널 청정물류 이송 장비 등",12/28/2018,12월,박강일,http://www.latplasma.com,경기도
에어부산,298690,항공 여객 운송업,항공 여객 및 화물 운송,12/27/2018,12월,안병석,http://www.airbusan.com,부산광역시
비피도,238200,기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등,12/26/2018,12월,신용철,http://bifido.com,강원도
유틸렉스,263050,기초 의약물질 및 생물학적 제제 제조업,"면역항암 세포치료제, 면역항암 항체치료제",12/24/2018,12월,"권병세, 최수영",http://www.eutilex.com,서울특별시
디케이티,290550,전자부품 제조업,스마트폰용 FPCA,12/21/2018,12월,최남채,http://www.dtktech.co.kr/,인천광역시
아이엘사이언스,307180,전구 및 조명장치 제조업,LED용 실리콘렌즈 외,12/21/2018,12월,송성근,http://www.ilscience.co.kr,경기도
애니플러스,310200,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송통신사업,12/21/2018,12월,전승택,http://www.aniplustv.com,서울특별시
테크엔,308700,전구 및 조명장치 제조업,LED조명장치,12/21/2018,12월,이영섭,http://www.techen.co.kr,대구광역시
디와이씨,310870,자동차 신품 부품 제조업,자동차 부품,12/20/2018,12월,"이종훈, 김용덕(공동대표이사)",http://dycauto.com,경상북도
오하임아이엔티,309930,기타 생활용품 소매업,기업인수합병,12/20/2018,12월,서정일,,서울특별시
위지윅스튜디오,299900,"영화, 비디오물, 방송프로그램 제작 및 배급업","VFX, 뉴미디어 등 특수영상 컨텐츠 제작",12/20/2018,12월,"박관우, 박인규",http://www.wswgstudios.com,서울특별시
국전약품,307750,의약품 제조업,기업 인수 및 합병,12/19/2018,12월,홍종호,,경기도
에이비엘바이오,298380,기초 의약물질 및 생물학적 제제 제조업,항체의약품 연구개발,12/19/2018,12월,이상훈,http://www.ablbio.com,경기도
프로테옴텍,303360,의료용품 및 기타 의약 관련제품 제조업,"알러지진단키트, 임신진단테스트기, 면역진단키트",12/19/2018,12월,임국진,http://www.proteometech.com/,서울특별시
머큐리,100590,통신 및 방송 장비 제조업,"AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비",12/14/2018,12월,황 하영,,인천광역시
전진바이오팜,110020,기타 화학제품 제조업,"방충방향제, 유해동물피해감소제, 기생충피해감소제",12/14/2018,12월,이태훈,http://www.jjbio.co.kr,대구광역시
뉴트리,270870,기타 식품 제조업,"에버콜라겐, 판도라 다이어트 등",12/13/2018,12월,김도언,http://www.newtree.co.kr,서울특별시
비투엔,307870,소프트웨어 개발 및 공급업,기업인수합병,12/12/2018,12월,조광원,,서울특별시
이노메트리,302430,특수 목적용 기계 제조업,엑스레이검사 장비,12/12/2018,12월,김준보,http://www.innometry.com,경기도
대유에이피,290120,자동차 신품 부품 제조업,자동차 스티어링휠,12/7/2018,12월,이석근,http://www.dayouap.co.kr,전라북도
에코캡,128540,자동차 신품 부품 제조업,"자동차 부품(전선, 케이블, 벌브소켓, LED 등)",12/5/2018,12월,최영천,http://www.ecocab.co.kr,울산광역시
원바이오젠,307280,의료용품 및 기타 의약 관련제품 제조업,"창상피복제, 습윤드레싱제",12/5/2018,12월,김원일,http://wonbiogen.co.kr,경상북도
베스파,299910,소프트웨어 개발 및 공급업,모바일게임,12/3/2018,12월,김진수,http://www.vespainteractive.com/,서울특별시
윙입푸드,900340,기타 금융업,육가공 제품,11/30/2018,12월,왕현도,http://wingyip-food.com,홍콩
남화산업,111710,스포츠 서비스업,골프장 서비스,11/29/2018,12월,"최재훈, 최영곤 (공동대표이사)",http://www.muangc.co.kr,전라남도
엠아이텍,179290,의료용 기기 제조업,비혈관 스텐트 및 체외충격파 쇄석기,11/29/2018,12월,박진형,http://www.mitech.co.kr,경기도
티로보틱스,117730,특수 목적용 기계 제조업,"중대형 시스템, 중대형 로봇",11/29/2018,12월,안승욱,http://www.t-robotics.net/,경기도
네오펙트,290660,의료용 기기 제조업,라파엘스마트글러브 외,11/28/2018,12월,반호영,http://www.neofect.com,경기도
에이펙스인텍,207490,전구 및 조명장치 제조업,LED조명장치 등,11/28/2018,12월,김권진,http://www.apexint.co.kr,경상북도
티앤알바이오팹,246710,기초 의약물질 및 생물학적 제제 제조업,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제",11/28/2018,12월,윤원수,http://www.tnrbiofab.com,경기도
나라소프트,288490,소프트웨어 개발 및 공급업,"체육용솔루션(NS트루골프, NS테니스, NS축구, NS승마 등)",11/23/2018,12월,김호상,http://www.narasoft.com,서울특별시
아시아나IDT,267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT 서비스, IT 솔루션",11/23/2018,12월,서근식,http://www.asianaidt.com,서울특별시
디알젬,263690,의료용 기기 제조업,"진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외",11/22/2018,12월,박정병,http://www.drgem.co.kr,경기도
싸이토젠,217330,자연과학 및 공학 연구개발업,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼,11/22/2018,12월,전병희,http://cytogenlab.com,서울특별시
아주IB투자,027360,기타 금융업,,11/21/2018,12월,김지원,http://www.ajuib.co.kr,서울특별시
파멥신,208340,의약품 제조업,항체치료제,11/21/2018,12월,유진산,http://www.pharmabcine.com/,대전광역시
디케이앤디,263020,플라스틱제품 제조업,합성피혁 및 부직포,11/20/2018,12월,최민석,http://www.dknd.co.kr,경기도
에이치앤비디자인,227100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",스마트 액세서리(보조배터리 등),11/15/2018,12월,"이정옥, 이현웅(각자 대표이사)",http://designcorp.co.kr,서울특별시
노바렉스,194700,기타 식품 제조업,건강기능식품 제조,11/14/2018,12월,권석형,http://www.novarex.co.kr,충청북도
셀리버리,268600,자연과학 및 공학 연구개발업,바이오의약품[iCP-Parkin(파킨슨병 치료제)]및 연구용 시약,11/9/2018,12월,조대웅,http://www.cellivery.com,서울특별시
대보마그네틱,290670,기타 전기장비 제조업,"전자석탈철기, 자력선별기",11/6/2018,12월,"이준각, 이상익 각자대표",http://www.daebo.com,경기도
노바텍,285490,그외 기타 제품 제조업,"Magnet, Shield Magnet, 심재",11/2/2018,12월,오춘택,http://www.novatek.co.kr,경기도
엘앤씨바이오,290650,의약품 제조업,"인체조직(피부, 뼈, 연골)",11/1/2018,12월,이환철,http://www.lncbio.co.kr,경기도
네온테크,306620,특수 목적용 기계 제조업,기업인수합병,10/31/2018,12월,황성일,,경기도
로보티즈,108490,특수 목적용 기계 제조업,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",10/26/2018,12월,김병수,,서울특별시
옵티팜,153710,의료용품 및 기타 의약 관련제품 제조업,"옵티케어,메디피그 등",10/26/2018,12월,김현일,http://www.optipharm.co.kr,충청북도
에스퓨얼셀,288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지",10/15/2018,12월,"전희권, 홍성민 각자대표이사",http://www.s-fuelcell.com/,경기도
세아제강,306200,1차 철강 제조업,강관,10/5/2018,12월,"이휘령, 김석일",http://www.seahsteel.co.kr,서울특별시
나우IB,293580,기타 금융업,"투자조합, PEF 결성 및 투자",10/4/2018,12월,이승원,http://www.nauib.com,서울특별시
푸드나무,290720,무점포 소매업,,10/4/2018,12월,김영문,http://www.foodnamoo.com,서울특별시
하나제약,293480,의약품 제조업,완제의약품,10/2/2018,12월,이윤하,http://www.hanaph.co.kr,경기도
크리스에프앤씨,110790,봉제의복 제조업,골프웨어,10/1/2018,12월,"우진석, 김한흠 (각자대표)",http://www.creas.co.kr,서울특별시
더블유에스아이,299170,생활용품 도매업,기업인수합병,9/21/2018,12월,박정섭,,서울특별시
지티지웰니스,219750,의료용 기기 제조업,의료기기 및 미용기기,9/21/2018,12월,한윤석,http://www.gtgwellness.co.kr,경기도
우진아이엔에스,010400,건물설비 설치 공사업,반도체/디스플레이 코팅덕트,9/14/2018,12월,홍경모,http://www.woojini.com,서울특별시
명성티엔에스,257370,특수 목적용 기계 제조업,"2차전지 분리막 제조설비, 디스플레이용 생산설비",9/13/2018,12월,김준규,http://www.ms-mc.co.kr,대구광역시
엔피,291230,기타 사업지원 서비스업,"브랜드 익스피어리언스, XR 콘텐츠, 메타버스",9/13/2018,12월,"송방호, 박상준",http://www.npinc.co.kr/,서울특별시
엔솔바이오사이언스,140610,자연과학 및 공학 연구개발업,"퇴행성디스크 치료제, 골관절염 치료제, 동물용 골관절염 치료제",9/10/2018,12월,김해진,http://www.ensolbio.co.kr,대전광역시
디지캡,197140,소프트웨어 개발 및 공급업,"보호솔루션, 방송서비스솔루션 등",9/7/2018,12월,한승우,http://www.digicaps.com,서울특별시
지니틱스,303030,반도체 제조업,반도체 IC,8/30/2018,12월,호경근,http://www.zinitix.com,경기도
액트로,290740,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비,8/28/2018,12월,하동길,http://www.actro.co.kr,경기도
오파스넷,173130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축 및 유지보수,8/24/2018,12월,장수현,http://www.opasnet.co.kr,서울특별시
에이피티씨,089970,특수 목적용 기계 제조업,300mm Poly Etch System,8/23/2018,12월,최우형,http://www.iaptc.com/,경기도
바이오솔루션,086820,기초 의약물질 및 생물학적 제제 제조업,"세포치료제, 인체조직모델 등",8/20/2018,12월,장송선,http://www.biosolutions.co.kr/,서울특별시
더콘텐츠온,302920,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화제작, 투자, 배급 및 영화디지털배급",8/13/2018,12월,김상윤,http://www.tcokr.com,서울특별시
대유,290380,"비료, 농약 및 살균, 살충제 제조업","4종복합비료, 농약",8/10/2018,12월,김우동,http://www.dae-yu.co.kr,서울특별시
신한알파리츠,293940,부동산 임대 및 공급업,비거주 부동산 임대 서비스업,8/8/2018,03월,이준구,http://www.shalphareit.com,서울특별시
디아이티,110990,특수 목적용 기계 제조업,평판디스플레이 검사장비,8/7/2018,12월,박종철,http://www.okdit.co.kr,경기도
에스에스알,275630,소프트웨어 개발 및 공급업,"취약점 진단 솔루션, 모의해킹 컨설팅",8/6/2018,12월,고필주,http://www.ssrinc.co.kr,서울특별시
한일시멘트,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈",8/6/2018,12월,전근식,http://www.hanilcement.com,서울특별시
휴네시온,290270,소프트웨어 개발 및 공급업,망간자료전송(i-oneNet),8/2/2018,12월,정동섭,http://www.hunesion.com,서울특별시
티웨이항공,091810,항공 여객 운송업,저가 항공운송,8/1/2018,12월,정홍근,http://www.twayair.com,서울특별시
롯데정보통신,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",7/27/2018,12월,노준형,http://www.ldcc.co.kr,서울특별시
한국유니온제약,080720,의약품 제조업,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품",7/26/2018,12월,백병하,http://www.ukp.co.kr/,강원도
그리티,204020,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)",7/23/2018,12월,문영우,http://www.gritees.com,서울특별시
알로이스,297570,통신 및 방송 장비 제조업,안드로이드 OTT 멀티미디어 디바이스,7/20/2018,12월,권충식,http://www.aloys.co.kr,경기도
올릭스,226950,자연과학 및 공학 연구개발업,siRNA 신약 개발,7/18/2018,12월,이동기,http://www.olixpharma.com,경기도
테크트랜스,258050,기타 금속 가공제품 제조업,비철금속표면처리장비 및 솔루션,7/13/2018,12월,유재용,http:// techtrans.co.kr,경상북도
효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,7/13/2018,12월,요코타 타케시,http://www.hyosungheavyindustries.com,서울특별시
효성첨단소재,298050,화학섬유 제조업,PET타이어코드,7/13/2018,12월,황정모,http://www.hyosungadvancedmaterials.com,서울특별시
효성티앤씨,298020,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",7/13/2018,12월,김용섭,http://www.hyosungtnc.com,서울특별시
효성화학,298000,기초 화학물질 제조업,-,7/13/2018,12월,이건종,http://www.hyosungchemical.com,서울특별시
아이큐어,175250,의약품 제조업,"플라스타, 의약 및 의약외품 패취등, 마스크팩, 화장품 기초라인",7/12/2018,12월,최영권,http://icure.co.kr,서울특별시
SV인베스트먼트,289080,기타 금융업,중소/벤처기업 투자 및 육성,7/6/2018,03월,"박성호, 홍원호",http://www.svinvest.com,서울특별시
엘리비젼,276240,영상 및 음향기기 제조업,"디지털 사이니지, 키오스크 등",7/5/2018,12월,안덕근,http://www.elivision.com/,인천광역시
지앤이헬스케어,299480,기타 섬유제품 제조업,면생리대,6/29/2018,12월,장영민,http://www.hannahpad.com,경기도
이리츠코크렙,088260,부동산 임대 및 공급업,부동산투자회사,6/27/2018,06월,허승재,,서울특별시
EDGC,245620,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,6/26/2018,12월,"각자대표이사 신상철, 이민섭",http://www.edgc.com,인천광역시
에스엠비나,299670,봉제의복 제조업,여성의류,6/25/2018,12월,윤동률,http://www.smvina.co.kr,서울특별시
HDC현대산업개발,294870,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",6/12/2018,12월,"권순호, 정경구, 하원기 (각자 대표이사)",http://www.hdc-dvp.com,서울특별시
카이노스메드,284620,자연과학 및 공학 연구개발업,기업인수합병,6/8/2018,12월,이기섭,http://www.kainosmedicine.com,경기도
파워넷,037030,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치,6/7/2018,12월,"김상우, 양승환",http://www.gopowernet.com,서울특별시
